group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain
modern-cipher,AES-128,ECB,54384,,,,,,,,,,7.996510131350081,,0.002418992615216082,2.575057749711288,19.55991659681111
modern-cipher,AES-128,CBC,54384,,,,,,,,,,7.996075926323952,,0.0027199606048624596,2.6198314474252,19.625249110044805
modern-cipher,AES-128,CTR,54368,,,,,,,,,,7.996623636999771,,0.0023403164941560237,2.603917146410731,19.617001412046392
modern-cipher,AES-128,CFB,54368,,,,,,,,,,7.996624662605505,,0.0023396055984333136,2.5821719711014923,19.583531750381507
modern-cipher,AES-128,OFB,54368,,,,,,,,,,7.997264881490574,,0.0018958396833056966,2.572340040560311,19.580463405478056
modern-cipher,AES-256,ECB,54384,,,,,,,,,,7.996753663214859,,0.002250189189768688,2.581408608600116,19.56966590013915
modern-cipher,AES-256,CBC,54384,,,,,,,,,,7.996701612735193,,0.002286267832995666,2.5718594181079553,19.56364036544203
modern-cipher,AES-256,CTR,54368,,,,,,,,,,7.996151728383513,,0.0026674186209969556,2.60474809088691,19.624846586308543
modern-cipher,AES-256,CFB,54368,,,,,,,,,,7.99636665334396,,0.00251844399063112,2.5810730881306787,19.58552916024224
modern-cipher,AES-256,OFB,54368,,,,,,,,,,7.997153049570765,,0.0019733556632181666,2.606184340327707,19.604932091239405
modern-cipher,DES,ECB,54376,,,,,,,,,,7.996315719282791,,0.0025537487915252444,2.5772501826453706,19.555993924920678
modern-cipher,DES,CBC,54376,,,,,,,,,,7.996083226149041,,0.0027149007516830493,2.555327230782946,19.5479983387752
modern-cipher,DES,CFB,54368,,,,,,,,,,7.996436938859912,,0.002469725783415602,2.571951660799947,19.551309315955578
modern-cipher,DES,OFB,54368,,,,,,,,,,7.996838222501015,,0.0021915771589786854,2.586898983986478,19.575678835739737
modern-cipher,3DES,ECB,54376,,,,,,,,,,7.997004391110641,,0.0020763978557191117,2.5858015757751596,19.587947977679125
modern-cipher,3DES,CBC,54376,,,,,,,,,,7.996797777157058,,0.0022196117351104758,2.59824143185188,19.64545101764471
modern-cipher,3DES,CFB,54368,,,,,,,,,,7.996610787729216,,0.0023492229298131577,2.6100883388832052,19.630508745664617
modern-cipher,3DES,OFB,54368,,,,,,,,,,7.996639026221531,,0.0023296494984818036,2.611479492068629,19.633795261034546
